n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,lat,1,19,1.9059574604034424,0.053485337644815445,0.4576030671596527,0.9155365824699402,0.061597198247909546,18
2,0.8,lat,2,0,1.8265061378479004,0.0006313577177934349,0.9879669547080994,1.1425514221191406,-1.4114156329014804e-05,18
2,0.8,lat,2,1,1.615178108215332,0.0005889810854569077,0.9861192107200623,1.145457148551941,-1.240464007423725e-05,18
2,0.8,lat,2,2,1.9663220643997192,0.05308074876666069,0.5053536295890808,1.0340635776519775,0.059318527579307556,18
2,0.8,lat,2,3,2.006221055984497,0.052877288311719894,0.5182291269302368,1.036358118057251,0.058092180639505386,18
2,0.8,lat,2,4,1.9698858261108398,0.052989985793828964,0.4998789429664612,1.049400806427002,0.060559481382369995,18
2,0.8,lat,2,5,1.9692814350128174,0.052971333265304565,0.4995720386505127,1.0292412042617798,0.06174430996179581,18
2,0.8,lat,2,6,1.9344069957733154,0.052844807505607605,0.5011342763900757,1.03432035446167,0.059781208634376526,18
2,0.8,lat,2,7,1.851914405822754,0.05361125245690346,0.5162889361381531,1.0627747774124146,0.056678593158721924,18
2,0.8,lat,2,8,1.782958984375,0.05292569473385811,0.5012019276618958,1.0390639305114746,0.06081704422831535,18
2,0.8,lat,2,9,1.8498942852020264,0.05328618735074997,0.4991319477558136,1.0373154878616333,0.06027236953377724,18
2,0.8,lat,2,10,1.8486229181289673,0.053294990211725235,0.4984574019908905,1.0247788429260254,0.06101933494210243,18
2,0.8,lat,2,11,1.9280718564987183,0.05285929515957832,0.4978478252887726,1.0161510705947876,0.06081557273864746,18
2,0.8,lat,2,12,1.9395920038223267,0.053085893392562866,0.49171003699302673,1.0089083909988403,0.06079079210758209,18
2,0.8,lat,2,13,1.7738555669784546,0.0529424212872982,0.4960901141166687,1.0338481664657593,0.06110864505171776,18
2,0.8,lat,2,14,1.142441987991333,0.15608105063438416,0.9065806865692139,1.1267094612121582,0.005269013345241547,18
2,0.8,lat,2,15,0.3281053602695465,0.15616197884082794,0.07502927631139755,0.09008574485778809,0.06627949327230453,18
2,0.8,lat,2,16,1.931033730506897,0.0528559572994709,0.4801888167858124,0.9881498217582703,0.06099103391170502,18
2,0.8,lat,2,19,1.7868024110794067,0.053595662117004395,0.48064693808555603,0.9632129669189453,0.06253615021705627,18
2,0.8,lat,3,0,1.933009147644043,0.022077128291130066,0.8824455738067627,1.1263031959533691,5.819504804094322e-05,19
2,0.8,lat,3,1,2.2260231971740723,0.05457613989710808,0.5001800060272217,1.0523213148117065,0.056861087679862976,19
2,0.8,lat,3,2,1.6350475549697876,0.037730224430561066,0.7571381330490112,1.1758805513381958,0.0004357517173048109,19
2,0.8,lat,3,3,2.081228256225586,0.05324810370802879,0.49876677989959717,1.0366947650909424,0.05789588391780853,19
2,0.8,lat,3,4,2.079411745071411,0.053241681307554245,0.49789005517959595,1.042860746383667,0.057557787746191025,19
2,0.8,lat,3,5,1.8933134078979492,0.056995637714862823,0.5004136562347412,1.0139029026031494,0.0548442080616951,19
